airport_code,airport_name,city,state,country,latitude,longitude,mapping_status
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,KNOWN_AIRPORT
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,KNOWN_AIRPORT
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,KNOWN_AIRPORT
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.44906,-98.42183,KNOWN_AIRPORT
ABY,Southwest Georgia Regional Airport,Albany,GA,USA,31.53552,-84.19447,KNOWN_AIRPORT
ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.25305,-70.06018,KNOWN_AIRPORT
ACT,Waco Regional Airport,Waco,TX,USA,31.61129,-97.23052,KNOWN_AIRPORT
ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.97812,-124.10862,KNOWN_AIRPORT
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717,KNOWN_AIRPORT
ADK,Adak Airport,Adak,AK,USA,51.87796,-176.64603,KNOWN_AIRPORT
ADQ,Kodiak Airport,Kodiak,AK,USA,57.74997,-152.49386,KNOWN_AIRPORT
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856,KNOWN_AIRPORT
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,USA,33.36996,-81.9645,KNOWN_AIRPORT
AKN,King Salmon Airport,King Salmon,AK,USA,58.6768,-156.64922,KNOWN_AIRPORT
ALB,Albany International Airport,Albany,NY,USA,42.74812,-73.80298,KNOWN_AIRPORT
ALO,Waterloo Regional Airport,Waterloo,IA,USA,42.55708,-92.40034,KNOWN_AIRPORT
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,USA,35.21937,-101.70593,KNOWN_AIRPORT
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619,KNOWN_AIRPORT
APN,Alpena County Regional Airport,Alpena,MI,USA,45.07807,-83.56029,KNOWN_AIRPORT
ASE,Aspen-Pitkin County Airport,Aspen,CO,USA,39.22316,-106.86885,KNOWN_AIRPORT
