issue_type,YEAR,MONTH,DAY,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,CANCELLED,DIVERTED,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY
departure_delay_extreme_late,2015,1,11,AA,1595,AUS,DFW,650,0,0,700,1450,,,
departure_delay_extreme_late,2015,1,18,AA,224,LAS,LAX,1130,0,0,1414,1604,,,
departure_delay_extreme_late,2015,1,21,AA,2385,JAX,DFW,1223,0,0,1240,1457,,,
departure_delay_extreme_late,2015,1,23,AA,1322,BHM,DFW,700,0,0,1608,1988,,,
departure_delay_extreme_late,2015,1,27,AA,1242,FAT,DFW,659,0,0,850,1551,,,
departure_delay_extreme_late,2015,2,22,AA,1080,EGE,ORD,1415,0,0,1432,1457,,,
departure_delay_extreme_late,2015,2,28,AA,1312,STL,MIA,620,0,0,847,1587,,,
departure_delay_extreme_late,2015,3,4,AA,270,HNL,LAX,828,0,0,1057,1589,,,
departure_delay_extreme_late,2015,3,10,AA,1594,SAT,DFW,850,0,0,1047,1557,,,
departure_delay_extreme_late,2015,3,24,AA,1279,OMA,DFW,1103,0,0,1352,1609,,,
departure_delay_extreme_late,2015,3,25,AA,1126,SMF,DFW,625,0,0,748,1523,,,
departure_delay_extreme_late,2015,3,28,AA,1168,FLL,ORD,815,0,0,836,1461,,,
departure_delay_extreme_late,2015,4,28,AA,94,SAN,JFK,745,0,0,927,1542,,,
departure_delay_extreme_late,2015,5,7,AA,1085,PNS,DFW,738,0,0,756,1458,,,
departure_delay_extreme_late,2015,5,21,AA,1258,LAX,STL,610,0,0,702,1492,,,
departure_delay_extreme_late,2015,6,19,AA,269,SMF,DFW,520,0,0,600,1480,,,
departure_delay_extreme_late,2015,6,22,AA,1454,SFO,DFW,515,0,0,611,1496,,,
departure_delay_extreme_late,2015,6,22,AA,96,RIC,DFW,715,0,0,837,1522,,,
departure_delay_extreme_late,2015,7,13,AA,1319,IND,LAX,1905,0,0,2210,1625,,,
departure_delay_extreme_late,2015,8,1,AA,96,RIC,DFW,709,0,0,1427,1878,,,
departure_delay_extreme_late,2015,8,23,AA,270,HNL,LAX,710,0,0,825,1515,,,
departure_delay_extreme_late,2015,9,13,AA,1063,SAN,DFW,700,0,0,1050,1670,,,
departure_delay_extreme_late,2015,9,26,AA,1293,STX,MIA,1550,0,0,1621,1471,,,
departure_delay_extreme_late,2015,10,4,AA,97,11278,11298,1212,0,0,1216,1444,,,
departure_delay_extreme_late,2015,10,12,AA,1308,14747,11298,645,0,0,858,1573,,,
departure_delay_extreme_late,2015,10,26,MQ,3106,11413,11298,1622,0,0,1743,1521,,,
departure_delay_extreme_late,2015,10,27,MQ,3305,11612,13930,1443,0,0,1627,1544,,,
departure_delay_extreme_late,2015,11,2,AA,1387,MCI,DFW,600,0,0,635,1475,,,
departure_delay_extreme_late,2015,11,15,AA,290,MCO,JFK,1215,0,0,1351,1536,,,
departure_delay_extreme_late,2015,11,27,AA,2559,DTW,ORD,1027,0,0,1338,1631,,,
departure_delay_extreme_late,2015,12,14,AA,1310,MSP,ORD,500,0,0,716,1576,,,
departure_delay_extreme_late,2015,12,31,AA,2214,ABQ,DFW,1041,0,0,1410,1649,,,
arrival_delay_extreme_late,2015,1,11,AA,1595,AUS,DFW,650,0,0,,,755,759,1444
arrival_delay_extreme_late,2015,1,18,AA,224,LAS,LAX,1130,0,0,,,1246,1519,1593
arrival_delay_extreme_late,2015,1,21,AA,2385,JAX,DFW,1223,0,0,,,1415,1427,1452
arrival_delay_extreme_late,2015,1,23,AA,1322,BHM,DFW,700,0,0,,,914,1805,1971
arrival_delay_extreme_late,2015,1,27,AA,1242,FAT,DFW,659,0,0,,,1210,1356,1546
arrival_delay_extreme_late,2015,2,9,HA,51,JFK,HNL,935,0,0,,,1550,1617,1467
arrival_delay_extreme_late,2015,2,22,AA,1080,EGE,ORD,1415,0,0,,,1753,1813,1460
arrival_delay_extreme_late,2015,2,28,AA,1312,STL,MIA,620,0,0,,,1008,1315,1627
arrival_delay_extreme_late,2015,3,4,AA,270,HNL,LAX,828,0,0,,,1555,1811,1576
arrival_delay_extreme_late,2015,3,10,AA,1594,SAT,DFW,850,0,0,,,1000,1154,1554
arrival_delay_extreme_late,2015,3,24,AA,1279,OMA,DFW,1103,0,0,,,1255,1533,1598
arrival_delay_extreme_late,2015,3,25,AA,1126,SMF,DFW,625,0,0,,,1149,1303,1514
arrival_delay_extreme_late,2015,3,28,AA,1168,FLL,ORD,815,0,0,,,1036,1051,1455
arrival_delay_extreme_late,2015,4,28,AA,94,SAN,JFK,745,0,0,,,1615,1809,1554
arrival_delay_extreme_late,2015,5,7,AA,1085,PNS,DFW,738,0,0,,,944,1000,1456
arrival_delay_extreme_late,2015,5,21,AA,1258,LAX,STL,610,0,0,,,1149,1229,1480
