DOT_ID,DOT_AIRPORT_NAME,DOT_STATE,AIRPORT_KEY
10157,California Redwood Coast Humboldt County,CA,california coast county humboldt redwood
10372,Aspen Pitkin County Sardy Field,CO,aspen county field pitkin sardy
10577,Greater Binghamton/Edwin A. Link Field,NY,a binghamton edwin field greater link
10685,Central Il Regional Airport at Bloomington,IL,bloomington central il regional
10713,Boise Air Terminal,ID,air boise terminal
10721,Logan International,MA,international logan
10728,Jack Brooks Regional,TX,brooks jack regional
10732,Rafael Hernandez,PR,hernandez rafael
10781,Baton Rouge Metropolitan/Ryan Field,LA,baton field metropolitan rouge ryan
10785,Patrick Leahy Burlington International,VT,burlington international leahy patrick
10800,Bob Hope,CA,bob hope
10821,Baltimore/Washington International Thurgood Marshall,MD,baltimore international marshall thurgood washington
10849,Bozeman Yellowstone International,MT,bozeman international yellowstone
10980,Lovell Field,TN,field lovell
10994,Charleston AFB/International,SC,afb charleston international
11049,Easterwood Field,TX,easterwood field
11066,John Glenn Columbus International,OH,columbus glenn international john
11122,Casper/Natrona County International,WY,casper county international natrona
11146,West Virginia International Yeager,WV,international virginia west yeager
11150,Columbus Airport,GA,columbus
11193,Cincinnati/Northern Kentucky International,OH,cincinnati international kentucky northern
11278,Ronald Reagan Washington National,DC,national reagan ronald washington
11433,Detroit Metro Wayne County,MI,county detroit metro wayne
11577,Erie International/Tom Ridge Field,PA,erie field international ridge tom
11603,Mahlon Sweet Field,OR,field mahlon sweet
11617,Coastal Carolina Regional,NC,carolina coastal regional
11641,Fayetteville Regional/Grannis Field,NC,fayetteville field grannis regional
11775,Joe Foss Field,SD,field foss joe
11865,Northeast Wyoming Regional,WY,northeast regional wyoming
11921,Grand Junction Regional,CO,grand junction regional
11982,Robert Gray AAF,TX,aaf gray robert
12016,Guam International,TT,guam international
12094,Yampa Valley,CO,valley yampa
12129,Range Regional,MN,range regional
12173,Daniel K Inouye International,HI,daniel inouye international k
12217,Huntsville International-Carl T Jones Field,AL,carl field huntsville international jones t
12264,Washington Dulles International,DC,dulles international washington
12266,George Bush Intercontinental/Houston,TX,bush george houston intercontinental
12278,Wichita Dwight D Eisenhower National,KS,d dwight eisenhower national wichita
12343,Falls International Einarson Field,MN,einarson falls field international
12448,Jackson Medgar Wiley Evers International,MS,evers international jackson medgar wiley
12478,John F. Kennedy International,NY,f international john kennedy
12758,Ellison Onizuka Kona International at Keahole,HI,ellison international keahole kona onizuka
12884,Capital Region International,MI,capital international region
12889,Harry Reid International,NV,harry international reid
12951,Lafayette Regional Paul Fournet Field,LA,field fournet lafayette paul regional
12953,LaGuardia,NY,laguardia
12954,Long Beach Airport,CA,beach long
12992,Bill and Hillary Clinton Nat Adams Field,AR,adams and bill clinton field hillary nat
13029,Lincoln Airport,NE,lincoln
13158,Midland International Air and Space Port,TX,air and international midland port space
13241,Key Field,MS,field key
13256,McAllen International,TX,international mcallen
13264,Rogue Valley International - Medford,OR,international medford rogue valley
13360,Melbourne Orlando International,FL,international melbourne orlando
13367,Quad Cities International,IL,cities international quad
13459,Marquette Sawyer Regional,MI,marquette regional sawyer
13476,Monterey Regional,CA,monterey regional
13485,Dane County Regional-Truax Field,WI,county dane field regional truax
13486,Missoula Montana,MT,missoula montana
13487,Minneapolis-St Paul International,MN,international minneapolis paul st
13851,Okc Will Rogers International,OK,international okc rogers will
13964,Southwest Oregon Regional,OR,oregon regional southwest
14108,General Downing - Peoria International,IL,downing general international peoria
14150,Pellston Regional Emmet County,MI,county emmet pellston regional
14193,Pensacola International,FL,international pensacola
14222,Pago Pago International,TT,international pago pago
14307,Rhode Island Tf Green International,RI,green international island rhode tf
14487,Redding Regional,CA,redding regional
14489,Roberts Field,OR,field roberts
14543,Southwest Wyoming Regional,WY,regional southwest wyoming
14574,Roanoke Blacksburg Regional,VA,blacksburg regional roanoke
14576,Frederick Douglass Grtr Rochester International,NY,douglass frederick grtr international rochester
14588,Roswell Air Center,NM,air center roswell
14674,Santa Fe Regional,NM,fe regional santa
14679,San Diego International,CA,diego international san
14689,Santa Barbara Municipal,CA,barbara municipal santa
14696,South Bend International,IN,bend international south
14698,San Luis Obispo County Regional,CA,county luis obispo regional san
14709,Deadhorse Airport,AK,deadhorse
14711,State College Regional,PA,college regional state
14730,Louisville Muhammad Ali International,KY,ali international louisville muhammad
14831,Norman Y. Mineta San Jose International,CA,international jose mineta norman san y
14843,Luis Munoz Marin International,PR,international luis marin munoz
15016,St Louis Lambert International,MO,international lambert louis st
15048,Sioux Gateway Brig Gen Bud Day Field,IA,brig bud day field gateway gen sioux
15070,New York Stewart International,NY,international new stewart york
15295,Eugene F Kranz Toledo Express,OH,eugene express f kranz toledo
15323,Tri Cities,TN,cities tri
15497,Northeast Florida Regional,FL,florida northeast regional
15919,Northwest Arkansas National,AR,arkansas national northwest
16218,Yuma MCAS/Yuma International,AZ,international mcas yuma yuma
